PlayerName,Profile,SoloQueueName,2017-SpringWins,2017-SpringTeam,2017-SpringTeamLink,2017-SummerWins,2017-SummerTeam,2017-SummerTeamLink,2018-SpringWins,2018-SpringTeam,2018-SpringTeamLink,2018-SummerWins,2018-SummerTeam,2018-SummerTeamLink,2019-SpringWins,2019-SpringTeam,2019-SpringTeamLink,2019-SummerWins,2019-SummerTeam,2019-SummerTeamLink
Ssumday,https://lol.gamepedia.com/Ssumday,Ssumdayday,22,Team Dignitas,https://lol.gamepedia.com/Team_Dignitas,29,Team Dignitas,https://lol.gamepedia.com/Team_Dignitas,13,100 Thieves,https://lol.gamepedia.com/100_Thieves,12,100 Thieves,https://lol.gamepedia.com/100_Thieves,4,100 Thieves,https://lol.gamepedia.com/100_Thieves,0,100 Thieves,https://lol.gamepedia.com/100_Thieves
AnDa,https://lol.gamepedia.com/AnDa,AnDa,0,N/A,N/A,0,N/A,N/A,6,FlyQuest,https://lol.gamepedia.com/FlyQuest,8,100 Thieves,https://lol.gamepedia.com/100_Thieves,4,100 Thieves,https://lol.gamepedia.com/100_Thieves,0,100 Thieves,https://lol.gamepedia.com/100_Thieves
Huhi,https://lol.gamepedia.com/Huhi,huhi,22,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,27,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,7,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,7,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,4,100 Thieves,https://lol.gamepedia.com/100_Thieves,0,100 Thieves,https://lol.gamepedia.com/100_Thieves
Bang,https://lol.gamepedia.com/Bang,100T Bang,32,SK Telecom T1,https://lol.gamepedia.com/SK_Telecom_T1,26,SK Telecom T1,https://lol.gamepedia.com/SK_Telecom_T1,23,SK Telecom T1,https://lol.gamepedia.com/SK_Telecom_T1,19,SK Telecom T1,https://lol.gamepedia.com/SK_Telecom_T1,4,100 Thieves,https://lol.gamepedia.com/100_Thieves,0,100 Thieves,https://lol.gamepedia.com/100_Thieves
Aphromoo,https://lol.gamepedia.com/Aphromoo,aphromoo,22,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,27,Counter Logic Gaming,https://lol.gamepedia.com/Counter_Logic_Gaming,13,100 Thieves,https://lol.gamepedia.com/100_Thieves,12,100 Thieves,https://lol.gamepedia.com/100_Thieves,4,100 Thieves,https://lol.gamepedia.com/100_Thieves,0,100 Thieves,https://lol.gamepedia.com/100_Thieves
Licorice,https://lol.gamepedia.com/Licorice,Licorice,0,N/A,N/A,0,N/A,N/A,12,Cloud 9,https://lol.gamepedia.com/Cloud9,11,Cloud 9,https://lol.gamepedia.com/Cloud9,13,Cloud 9,https://lol.gamepedia.com/Cloud9,0,Cloud 9,https://lol.gamepedia.com/Cloud9
Svenskeren,https://lol.gamepedia.com/Svenskeren,Paradiser,32,Team SoloMid,https://lol.gamepedia.com/Team_SoloMid,30,Team SoloMid,https://lol.gamepedia.com/Team_SoloMid,12,Cloud 9,https://lol.gamepedia.com/Cloud9,3,Cloud 9,https://lol.gamepedia.com/Cloud9,12,Cloud 9,https://lol.gamepedia.com/Cloud9,0,Cloud 9,https://lol.gamepedia.com/Cloud9
Nisqy,https://lol.gamepedia.com/Nisqy,C9 Nisqyyy,5,Team EnVy,https://lol.gamepedia.com/Team_EnVyUs,11,Team EnVy,https://lol.gamepedia.com/Team_EnVyUs,11,Splyce,https://lol.gamepedia.com/Splyce,9,Splyce,https://lol.gamepedia.com/Splyce,13,Cloud 9,https://lol.gamepedia.com/Cloud9,0,Cloud 9,https://lol.gamepedia.com/Cloud9
Sneaky,https://lol.gamepedia.com/Sneaky,C9 Sneaky,31,Cloud 9,https://lol.gamepedia.com/Cloud9,28,Cloud 9,https://lol.gamepedia.com/Cloud9,12,Cloud 9,https://lol.gamepedia.com/Cloud9,10,Cloud 9,https://lol.gamepedia.com/Cloud9,13,Cloud 9,https://lol.gamepedia.com/Cloud9,0,Cloud 9,https://lol.gamepedia.com/Cloud9
Zeyzal,https://lol.gamepedia.com/Zeyzal,Zeyzal,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,11,Cloud 9,https://lol.gamepedia.com/Cloud9,13,Cloud 9,https://lol.gamepedia.com/Cloud9,0,Cloud 9,https://lol.gamepedia.com/Cloud9
